,city,price,beds,baths,sqft,url,address
97,Milwaukee,"$100,000",2 beds,1.5 baths,"1,172 ",https://www.redfin.com/WI/Milwaukee/4050-W-Rivers-Edge-Cir-53209/unit-4/home/58022160,"4050 W Rivers Edge Cir #4, Brown Deer, WI 53209"
98,Milwaukee,"$67,200",2 beds,1 bath,725 ,https://www.redfin.com/WI/Milwaukee/3105-W-Glendale-Ave-53209/home/90206415,"3105 W Glendale Ave, Milwaukee, WI 53209"
99,Milwaukee,"$239,900",3 beds,2 baths,"1,600 ",https://www.redfin.com/WI/Milwaukee/1900-W-Sheridan-Ave-53209/home/90201235,"1900 W Sheridan Ave, Milwaukee, WI 53209"
100,Milwaukee,"$175,000",2 beds,2 baths,"1,125 ",https://www.redfin.com/WI/Milwaukee/7003-N-Green-Bay-Ave-53209/unit-D/home/90288088,"7003 N Green Bay Ave Unit D, Glendale, WI 53209"
101,Milwaukee,"$315,000",3 beds,3 baths,"1,867 ",https://www.redfin.com/WI/Milwaukee/5404-N-Bethmaur-Ln-53209/home/57667651,"5404 N Bethmaur Ln, Glendale, WI 53209"
102,Milwaukee,"$129,900",4 beds,2 baths,"1,657 ",https://www.redfin.com/WI/Milwaukee/5241-N-31st-St-53209/home/191255112,"5241 N 31st St, Milwaukee, WI 53209"
103,Milwaukee,"$169,900",3 beds,1 bath,"1,458 ",https://www.redfin.com/WI/Milwaukee/4108-N-24th-St-53209/home/90207806,"4108 N 24th St, Milwaukee, WI 53209"
104,Milwaukee,"$150,000",3 beds,1 bath,"1,489 ",https://www.redfin.com/WI/Milwaukee/4547-N-28th-St-53209/home/90206205,"4547 N 28th St, Milwaukee, WI 53209"
105,Milwaukee,"$180,000",4 beds,2 baths,"1,536 ",https://www.redfin.com/WI/Milwaukee/5323-N-28th-St-53209/unit-5325/home/177347655,"5323 N 28th St #5325, Milwaukee, WI 53209"
106,Milwaukee,"$159,900",4 beds,2 baths,No Data Available,https://www.redfin.com/WI/Milwaukee/5457-N-39th-St-53209/unit-A/home/90347666,"5457 N 39th St Unit A, Milwaukee, WI 53209"
107,Milwaukee,"$214,900",4 beds,2 baths,"2,010 ",https://www.redfin.com/WI/Milwaukee/4121-N-20th-St-53209/unit-4123/home/185299683,"4121 N 20th St #4123, Milwaukee, WI 53209"
108,Milwaukee,"$119,000",4 beds,2 baths,"2,040 ",https://www.redfin.com/WI/Milwaukee/4139-N-22nd-St-53209/unit-4139A/home/189500218,"4139 N 22nd St Unit 4139A, Milwaukee, WI 53209"
109,Milwaukee,"$169,900",5 beds,2 baths,No Data Available,https://www.redfin.com/WI/Milwaukee/5328-N-Teutonia-Ave-53209/home/58057307,"5328 N Teutonia Ave, Milwaukee, WI 53209"
110,Milwaukee,"$139,900",4 beds,2 baths,"1,510 ",https://www.redfin.com/WI/Milwaukee/5337-N-38th-St-53209/unit-A/home/58061781,"5337 N 38th St Unit A, Milwaukee, WI 53209"
111,Milwaukee,"$169,900",3 beds,1 bath,900 ,https://www.redfin.com/WI/Milwaukee/4935-N-19th-St-53209/home/90318486,"4935 N 19th St, Milwaukee, WI 53209"
112,Milwaukee,"$97,500",4 beds,2 baths,"1,822 ",https://www.redfin.com/WI/Milwaukee/4138-N-25th-St-53209/home/90351655,"4138 N 25th St, Milwaukee, WI 53209"
113,Milwaukee,"$349,900",4 beds,2 baths,"1,824 ",https://www.redfin.com/WI/Milwaukee/5554-N-Dexter-Ave-53209/home/90288787,"5554 N Dexter Ave, Glendale, WI 53209"
114,Milwaukee,"$128,000",6 beds,2 baths,"1,601 ",https://www.redfin.com/WI/Milwaukee/5301-N-38th-St-53209/home/90347853,"5301 N 38th St, Milwaukee, WI 53209"
115,Milwaukee,"$22,000",1 bed,1 bath,496 ,https://www.redfin.com/WI/Milwaukee/4660-N-19th-Pl-53209/home/90207214,"4660 N 19th Pl, Milwaukee, WI 53209"
116,Milwaukee,"$249,000",3 beds,1 bath,"1,050 ",https://www.redfin.com/WI/Milwaukee/1121-W-Silver-Spring-Dr-53209/home/57755565,"1121 W Silver Spring Dr, Milwaukee, WI 53209"
117,Milwaukee,"$124,000",3 beds,1 bath,"1,168 ",https://www.redfin.com/WI/Milwaukee/4941-N-24th-St-53209/home/90348178,"4941 N 24th St, Milwaukee, WI 53209"
118,Milwaukee,"$269,900",3 beds,2 baths,"1,220 ",https://www.redfin.com/WI/Milwaukee/6979-N-Darien-St-53209/home/90344185,"6979 N Darien St, Milwaukee, WI 53209"
