,city,price,beds,baths,sqft,url,address
48,Milwaukee,"$300,000",3 beds,2 baths,"1,585 ",https://www.redfin.com/WI/Milwaukee/5829-S-Honey-Creek-Dr-53221/home/90250928,"5829 S Honey Creek Dr, Milwaukee, WI 53221"
49,Milwaukee,"$269,900",3 beds,1 bath,"1,256 ",https://www.redfin.com/WI/Milwaukee/4304-W-Anthony-Dr-53219/home/90261791,"4304 W Anthony Dr, Greenfield, WI 53219"
50,Milwaukee,"$270,000",3 beds,2 baths,"1,223 ",https://www.redfin.com/WI/Milwaukee/3636-S-35th-St-53221/home/57757175,"3636 S 35th St, Milwaukee, WI 53221"
51,Greendale,"$385,000",5 beds,3 baths,"2,440 ",https://www.redfin.com/WI/Greendale/6019-Trail-Ridge-Ct-53129/unit-6021/home/191058031,"6019 Trail Ridge Ct #6021, Greendale, WI 53129"
52,Milwaukee,"$490,000",4 beds,2.5 baths,"2,210 ",https://www.redfin.com/WI/Milwaukee/3810-S-Cherokee-Way-53221/home/57980019,"3810 S Cherokee Way, Milwaukee, WI 53221"
53,Milwaukee,"$349,900",5 beds,2 baths,"2,221 ",https://www.redfin.com/WI/Milwaukee/3605-W-Ohio-Ave-53215/home/58058227,"3605 W Ohio Ave, Milwaukee, WI 53215"
54,Milwaukee,"$359,000",3 beds,2.5 baths,"2,257 ",https://www.redfin.com/WI/Milwaukee/3459-S-38th-St-53215/home/90242045,"3459 S 38th St, Milwaukee, WI 53215"
55,Milwaukee,"$190,000",No Data Available,No Data Available,0.81 ,https://www.redfin.com/WI/Milwaukee/3125-S-84th-St-53227/home/167904177,"3125 S 84th St, Milwaukee, WI 53227"
56,Greenfield,"$576,900",4 beds,2.5 baths,"2,342 ",https://www.redfin.com/WI/Greenfield/4876-S-34th-St-53221/unit-9/home/189083237,"4876 S 34th St Lot 9, Greenfield, WI 53221"
57,Greenfield,"$594,120",4 beds,2.5 baths,"2,342 ",https://www.redfin.com/WI/Greenfield/4862-S-34th-St-53221/unit-8/home/189083094,"4862 S 34th St Lot 8, Greenfield, WI 53221"
58,Greenfield,"$666,632",4 beds,2.5 baths,"2,342 ",https://www.redfin.com/WI/Greenfield/4848-S-34th-St-53221/unit-7/home/189082753,"4848 S 34th St Lot 7, Greenfield, WI 53221"
59,Greenfield,"$622,990",4 beds,2.5 baths,"2,342 ",https://www.redfin.com/WI/Greenfield/4849-S-34th-St-53221/unit-6/home/189082597,"4849 S 34th St Lot 6, Greenfield, WI 53221"
60,Greenfield,"$588,697",4 beds,2.5 baths,"2,342 ",https://www.redfin.com/WI/Greenfield/4867-S-34th-St-53221/unit-5/home/189082358,"4867 S 34th St Lot 5, Greenfield, WI 53221"
61,Greenfield,"$578,265",4 beds,2.5 baths,"2,342 ",https://www.redfin.com/WI/Greenfield/4875-S-34th-St-53221/unit-4/home/189082262,"4875 S 34th St Lot 4, Greenfield, WI 53221"
62,Greenfield,"$556,375",4 beds,2.5 baths,"2,342 ",https://www.redfin.com/WI/Greenfield/4862-S-35th-St-53221/unit-2/home/189081821,"4862 S 35th St Lot 2, Greenfield, WI 53221"
63,Greenfield,"$555,000",4 beds,2.5 baths,"2,342 ",https://www.redfin.com/WI/Greenfield/4876-S-35th-St-53221/unit-1/home/189072521,"4876 S 35th St Lot 1, Greenfield, WI 53221"
64,Milwaukee,"$40,000",No Data Available,No Data Available,"6,534 ",https://www.redfin.com/WI/Milwaukee/8011-W-Oklahoma-Ave-53219/home/58000544,"8011 W Oklahoma Ave, Milwaukee, WI 53219"
65,Greenfield,"$419,900",3 beds,2 baths,"1,528 ",https://www.redfin.com/WI/Greenfield/3914-W-Plainfield-Ave-53221/home/183356155,"3914 W Plainfield Ave, Greenfield, WI 53221"
66,Milwaukee,"$180,000",4 beds,2 baths,"1,536 ",https://www.redfin.com/WI/Milwaukee/5323-N-28th-St-53209/unit-5325/home/177347655,"5323-5325 N 28th St, Milwaukee, WI 53209"
67,Milwaukee,"$159,900",4 beds,2 baths,No Data Available,https://www.redfin.com/WI/Milwaukee/5457-N-39th-St-53209/unit-A/home/90347666,"5457 N 39th St Unit A, Milwaukee, WI 53209"
68,Milwaukee,"$219,900",4 beds,2 baths,"2,010 ",https://www.redfin.com/WI/Milwaukee/4121-N-20th-St-53209/unit-4123/home/185299683,"4121 N 20th St #4123, Milwaukee, WI 53209"
69,Milwaukee,"$380,000",4 beds,3.5 baths,"3,384 ",https://www.redfin.com/WI/Milwaukee/6534-N-Range-Line-Rd-53209/home/90288689,"6534 N Range Line Rd, Glendale, WI 53209"
70,Milwaukee,"$39,900",1 bed,1 bath,440 ,https://www.redfin.com/WI/Milwaukee/5004-N-39th-St-53209/home/90348413,"5004 N 39th St, Milwaukee, WI 53209"
71,Milwaukee,"$107,900",4 beds,1 bath,"1,084 ",https://www.redfin.com/WI/Milwaukee/5034-N-42nd-St-53209/home/90201356,"5034 N 42nd St, Milwaukee, WI 53209"
72,Milwaukee,"$119,000",4 beds,2 baths,"2,040 ",https://www.redfin.com/WI/Milwaukee/4139-N-22nd-St-53209/unit-4139A/home/189500218,"4139 N 22nd St Unit 4139A, Milwaukee, WI 53209"
73,Milwaukee,"$169,900",5 beds,2 baths,No Data Available,https://www.redfin.com/WI/Milwaukee/5328-N-Teutonia-Ave-53209/home/58057307,"5328 N Teutonia Ave, Milwaukee, WI 53209"
74,Milwaukee,"$179,900",7 beds,2 baths,No Data Available,https://www.redfin.com/WI/Milwaukee/6000-N-38th-St-53209/unit-6004/home/191157967,"6000 N 38th St #6004, Milwaukee, WI 53209"
75,Milwaukee,"$149,900",4 beds,2 baths,"1,510 ",https://www.redfin.com/WI/Milwaukee/5337-N-38th-St-53209/unit-A/home/58061781,"5337 N 38th St Unit A, Milwaukee, WI 53209"
76,Milwaukee,"$169,900",3 beds,1 bath,900 ,https://www.redfin.com/WI/Milwaukee/4935-N-19th-St-53209/home/90318486,"4935 N 19th St, Milwaukee, WI 53209"
77,Milwaukee,"$125,000",4 beds,2 baths,"2,228 ",https://www.redfin.com/WI/Milwaukee/4039-N-24th-Pl-53209/home/191162373,"4039 N 24th Pl, Milwaukee, WI 53209"
78,Milwaukee,"$97,500",4 beds,2 baths,"1,822 ",https://www.redfin.com/WI/Milwaukee/4138-N-25th-St-53209/home/90351655,"4138 N 25th St, Milwaukee, WI 53209"
79,Milwaukee,"$349,900",4 beds,2 baths,"1,824 ",https://www.redfin.com/WI/Milwaukee/5554-N-Dexter-Ave-53209/home/90288787,"5554 N Dexter Ave, Glendale, WI 53209"
80,Milwaukee,"$129,000",4 beds,2 baths,"1,713 ",https://www.redfin.com/WI/Milwaukee/5511-N-33rd-St-53209/unit-5511-Upper/home/191161257,"5511 N 33rd St Unit 5511 Upper, Milwaukee, WI 53209"
81,Milwaukee,"$129,000",6 beds,2 baths,"1,601 ",https://www.redfin.com/WI/Milwaukee/5301-N-38th-St-53209/home/90347853,"5301 N 38th St, Milwaukee, WI 53209"
82,Milwaukee,"$255,000",3 beds,1 bath,"1,050 ",https://www.redfin.com/WI/Milwaukee/1121-W-Silver-Spring-Dr-53209/home/57755565,"1121 W Silver Spring Dr, Milwaukee, WI 53209"
83,Milwaukee,"$145,900",3 beds,1 bath,"1,227 ",https://www.redfin.com/WI/Milwaukee/4762-N-31st-St-53209/home/90350981,"4762 N 31st St, Milwaukee, WI 53209"
84,Milwaukee,"$419,900",3 beds,2 baths,"1,801 ",https://www.redfin.com/WI/Milwaukee/6821-N-Seville-Ave-53209/home/90327249,"6821 N Seville Ave, Glendale, WI 53209"
85,Milwaukee,"$19,000",4 beds,2 baths,"1,761 ",https://www.redfin.com/WI/Milwaukee/4729-N-19th-Pl-53209/unit-4729A/home/191048502,"4729 N 19th Pl Unit 4729A, Milwaukee, WI 53209"
86,Milwaukee,"$179,900",3 beds,2 baths,"1,650 ",https://www.redfin.com/WI/Milwaukee/6179-N-35th-St-53209/home/57745943,"6179 N 35th St, Milwaukee, WI 53209"
87,Milwaukee,"$149,900",3 beds,1 bath,"1,033 ",https://www.redfin.com/WI/Milwaukee/4829-N-Sherman-Blvd-53209/home/90348592,"4829 N Sherman Blvd, Milwaukee, WI 53209"
88,Milwaukee,"$269,900",3 beds,2 baths,"1,220 ",https://www.redfin.com/WI/Milwaukee/6979-N-Darien-St-53209/home/90344185,"6979 N Darien St, Milwaukee, WI 53209"
89,Milwaukee,"$263,000",4 beds,2 baths,"2,434 ",https://www.redfin.com/WI/Milwaukee/5284-N-Teutonia-Ave-53209/home/191016117,"5284 N Teutonia Ave, Milwaukee, WI 53209"
90,Milwaukee,"$120,000",3 beds,1 bath,978 ,https://www.redfin.com/WI/Milwaukee/5066-N-38th-St-53209/home/57714568,"5066 N 38th St, Milwaukee, WI 53209"
91,Milwaukee,"$99,900",4 beds,1 bath,945 ,https://www.redfin.com/WI/Milwaukee/4738-N-20th-St-53209/home/90206708,"4738 N 20th St, Milwaukee, WI 53209"
92,Milwaukee,"$204,900",4 beds,2 baths,"1,700 ",https://www.redfin.com/WI/Milwaukee/4679-N-39th-St-53209/home/90350947,"4679 N 39th St, Milwaukee, WI 53209"
93,Milwaukee,"$59,000",2 beds,1 bath,702 ,https://www.redfin.com/WI/Milwaukee/4343-N-19th-Pl-53209/home/90207230,"4343 N 19th Pl, Milwaukee, WI 53209"
