,city,price,beds,baths,sqft,url,address,ins_dttm,extract_dttm,delete_dttm,orig_listing_price,list_price_change
61,Milwaukee,"$825,000",2 beds,2 baths,"1,939 ",https://www.redfin.com/WI/Milwaukee/1313-N-Franklin-Pl-53202/unit-1003/home/191582692,"1313 N Franklin Pl #1003, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$825,000",
62,Milwaukee,"$419,900",2 beds,2 baths,"1,439 ",https://www.redfin.com/WI/Milwaukee/1550-E-Royall-Pl-53202/unit-409/home/191540722,"1550 E Royall Pl #409, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$419,900",
63,Milwaukee,"$199,900",1 bed,1 bath,763 ,https://www.redfin.com/WI/Milwaukee/234-N-Broadway-53202/unit-514/home/90382620,"234 N Broadway #514, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$199,900",
64,Milwaukee,"$229,900",1 bed,1 bath,830 ,https://www.redfin.com/WI/Milwaukee/1541-N-Jefferson-St-53202/unit-204/home/58024438,"1541 N Jefferson St #204, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$229,900",
65,Milwaukee,"$749,900",2 beds,2 baths,"1,413 ",https://www.redfin.com/WI/Milwaukee/541-E-Erie-St-53202/unit-408/home/90323985,"541 E Erie St #408, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$749,900",
66,Milwaukee,"$197,000",1 bed,1 bath,756 ,https://www.redfin.com/WI/Milwaukee/234-N-Broadway-53202/unit-418/home/90382625,"234 N Broadway #418, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$197,000",
67,Milwaukee,"$439,900",2 beds,2 baths,"1,242 ",https://www.redfin.com/WI/Milwaukee/1300-N-Prospect-Ave-53202/unit-216/home/58027221,"1300 N Prospect Ave #216, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$439,900",
68,Milwaukee,"$249,900",2 beds,2 baths,975 ,https://www.redfin.com/WI/Milwaukee/1108-N-Milwaukee-St-53202/unit-224/home/58027540,"1108 N Milwaukee St #224, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$249,900",
69,Milwaukee,"$225,000",2 beds,1 bath,972 ,https://www.redfin.com/WI/Milwaukee/1983-N-Summit-Ave-53202/unit-10/home/190842022,"1983 N Summit Ave #10, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$225,000",
70,Milwaukee,"$275,000",2 beds,1.5 baths,980 ,https://www.redfin.com/WI/Milwaukee/270-E-Highland-Ave-53202/unit-642/home/90323715,"270 E Highland Ave #642, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$275,000",
71,Milwaukee,"$954,900",2 beds,2 baths,"2,008 ",https://www.redfin.com/WI/Milwaukee/1313-N-Franklin-Pl-53202/unit-304/home/58042287,"1313 N Franklin Pl #304, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$954,900",
72,Milwaukee,"$155,000",0 beds,1 bath,460 ,https://www.redfin.com/WI/Milwaukee/1028-E-Juneau-Ave-53202/unit-202/home/191522139,"1028 E Juneau Ave #202, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$155,000",
73,Milwaukee,"$479,900",1 bed,2 baths,"1,206 ",https://www.redfin.com/WI/Milwaukee/777-N-Prospect-Ave-53202/unit-NP7-707/home/191468773,"777 N Prospect Ave Unit NP7, 707, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$479,900",
74,Milwaukee,"$149,000",0 beds,1 bath,460 ,https://www.redfin.com/WI/Milwaukee/1028-E-Juneau-Ave-53202/unit-327/home/59759473,"1028 E Juneau Ave #327, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$149,000",
75,Milwaukee,"$429,900",3 beds,2 baths,"1,634 ",https://www.redfin.com/WI/Milwaukee/1450-N-Franklin-Pl-53202/home/57969644,"1450 N Franklin Pl, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$429,900",
76,Milwaukee,"$450,000",3 beds,2 baths,"1,332 ",https://www.redfin.com/WI/Milwaukee/1919-N-Summit-Ave-53202/unit-4E/home/58021661,"1919 N Summit Ave Unit 4E, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$450,000",
77,Milwaukee,"$329,900",1 bed,1 bath,"1,546 ",https://www.redfin.com/WI/Milwaukee/601-E-Ogden-Ave-53202/unit-804/home/58021477,"601 E Ogden St #804, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$329,900",
78,Milwaukee,"$219,900",1 bed,1 bath,907 ,https://www.redfin.com/WI/Milwaukee/270-E-Highland-Ave-53202/unit-915/home/58020396,"270 E Highland Ave #915, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$219,900",
79,Milwaukee,"$645,000",2 beds,2 baths,"1,826 ",https://www.redfin.com/WI/Milwaukee/1522-N-Prospect-Ave-53202/unit-1203/home/191306517,"1522 N Prospect Ave #1203, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$645,000",
80,Milwaukee,"$129,900",0 beds,1 bath,325 ,https://www.redfin.com/WI/Milwaukee/1028-E-Juneau-Ave-53202/unit-812/home/191295697,"1028 E Juneau Ave #812, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$129,900",
81,Milwaukee,"$1,449,000",3 beds,4 baths,"3,558 ",https://www.redfin.com/WI/Milwaukee/785-E-Kilbourn-Ave-53202/home/185277299,"785 E Kilbourn Ave, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$1,449,000",
